beneficiary_address,amount_received
0xd46ef8f260448ae4ecb78ede02251b6a6a194264,18464.85
0xc27015aa468cc4e13345d2df4865c70f47629344,10071.14
0x4180a37dfa7466170c3ab35d9386013c3c8f1457,10069.85
0x3b8035e9c74096160180ea0cc26e32cfbfa21a50,4353.61
0xc9bffd19619dee3d0f3e8b6f84b7877515ca2eb1,4000.0
0x7daf69887c8137775478f35736967f4873a9c242,4000.0
0x39ac2b50ad58ca1741b302dc2c4a626ef451a305,4000.0
0x3677f44aa6a7c637450042f63b7e864478dc0cc9,4000.0
0x233c62799a827e88cb3cd656227cf227f0844b5f,4000.0
0xe4fb639fab491825e8900e2ca4862a146f4e6750,2299.37
0x9c5c92138a920462174df83028860d852b849bb0,2281.61
0xd1a21a5f90421e40184e2fa974922c43c51624a1,2258.14
0x53d630f1c89d6ab1ba904a9de0dba21a11ae5bc0,1268.41
0x2dd8af3e5456c3e5a7feaf06c848d235b77a9889,1058.97
0x169bc102771a8d4396a95aa01c430f203f2e6d5f,908.14
0x878808fb53a847ec86431cf3c703dcce4de64f8e,900.89
0xba46fbced590a8974d820e60de94b8343f095e2f,755.89
0xd4398284dfd4301e4ce6ed2cdbdc1e0dc933e685,658.35
0xd1726a1c9f37ed42544a92dfc38200b0ee9c6a2c,602.43
0xc4e27942d29544dcab1df9d167e9fc32d4bc62ec,303.09
0x4e687eff53671b2be6d13f9b0b99682cded12398,204.12
0x6e7af745622a71b4f89a4ca24abfba3d1c8bd1c4,140.16
0x0831dbe3961775f9663b95ebb2233a11d3ab4124,39.96
0xf915da10e5136352ba049acb0545deb119054256,39.86
0xc0a546b566634dffbf878445180dd63da80c1407,39.03
0x298e723113d07bdc3882a137544b7f32af278ce2,37.14
0x7bccff809cc1175be6634de6d124ddf9b565f428,35.96
0x46f9e95115b0473b04ae3dc9de9be4a0a7201afe,32.51
0xa6e6d7bda9b112bacd2ded52490789586a12988f,31.22
0xb08547cea8cd6e288d01354ab903bc7ab23bcf20,30.53
0x2549f9e75495ca1c80efaa86851c934f4b913e33,29.97
0xe310634ac4a77d50e485aa1edfff3689eed5c81a,29.92
0x73fee66861a4770826d9cec2439f14b514f307d5,29.86
0xaeec5f7e8f4743a0ac2424362bc0e1577f2584e3,23.23
0xa3ddf89a886a6aa7804138acd393e4a276f7a76b,23.15
0x9cb86b4fbc70a8366132ab9ca8290cde2ecaedab,17.66
0xaaf5ccc48587fa9e70a96488306b5b93287fffab,13.72
0x446e2bac87b23ef8a5d2e34b319a1eaba754c5ee,10.48
0x2c8a70024cbc5044f8f00ee46d8302e84f6e0959,10.04
0x20a4ac5f6bc91470dc12a85bbee7f28d123f7b48,8.05
0xd6e0d365adf778963805a3aa87f17e0f0f5eaa78,8.04
0x7cb9c6d83aefe68180abe9c794eb2201a1d39a41,7.36
0x28d54120b47dfdc90cba0dcfa3599387d1e04915,5.89
0xb4f59e27f9562fc23d333ee9dbdfa5fad89f5f9a,5.48
0x70fcbeca02feea23b9a036c530f8346d2d717aea,4.12
0x9480fe3e9b12dc03eaa2ca3927437abff2f1c563,3.09
0xe767d84d45ef2b420dbaa921a706ddf9ab33229a,1.78
0x84eae603c90eb7965f8e3659b8e1c23f0c8fd989,1.72
0x42cfe6b0d061a7d728015e9a4fc8bd903ccfedcf,1.65
0xda50ece28829a6d767c7cd5883311fbba754e5b8,1.65
0xc60a0aa6d6901716905738c592fcd50b12a86710,1.18
0x157ca28ac9bd4208a728cb629c20246e7de294f2,0.6
0x759ec7d623ccf175e4a550d56381dc58a8a2c323,0.55
0x5a03c3b5d955334717dccf4cb8b85122019893e4,0.48
0x8efd7a52e95f828940d66b534c91947c51114ba9,0.48
0x9f23bf5eae00189b255120b07b21dbc449762ce2,0.31
0x42df3dabba6905a5044364aa01f4b461d572fd57,0.21
0x7c6d1100289bc41722e62bd0c3cbfd8458cc36e7,0.2
0x4bd2a815aea8ff99e903a5428567138bd3317c85,0.09
